codice_1_livello,label_ITA_1_livello,codice_2_livello,label_ITA_2_livello,codice_3_livello,label_ITA_3_livello
1.0,Forme disciplinate dal diretto privato,1.7,Ente privato con personalità giuridica,1.7.30,Fondazione bancaria
1.0,Forme disciplinate dal diretto privato,1.7,Ente privato con personalità giuridica,1.7.40,Ente ecclesiastico
1.0,Forme disciplinate dal diretto privato,1.7,Ente privato con personalità giuridica,1.7.50,Società di mutuo soccorso
1.0,Forme disciplinate dal diretto privato,1.7,Ente privato con personalità giuridica,1.7.90,Altra forma di ente privato con personalità giuridica
1.0,Forme disciplinate dal diretto privato,1.8,Ente privato senza personalità giuridica,1.8.10,Associazione non riconosciuta
1.0,Forme disciplinate dal diretto privato,1.8,Ente privato senza personalità giuridica,1.8.20,Comitato
1.0,Forme disciplinate dal diretto privato,1.8,Ente privato senza personalità giuridica,1.8.30,Condominio
1.0,Forme disciplinate dal diretto privato,1.8,Ente privato senza personalità giuridica,1.8.90,Altra forma di ente privato senza personalità giuridica
1.0,Forme disciplinate dal diretto privato,1.9,Impresa o ente privato costituito all'estero non altrimenti classificabile che svolge una attività economica in Italia,1.9.00,Impresa o ente privato costituito all'estero non altrimenti classificabile che svolge una attività economica in Italia
2.0,Forme disciplinate dal diritto pubblico,2.1,Organo costituzionale o a rilevanza costituzionale,2.1.00,Organo costituzionale o a rilevanza costituzionale
2.0,Forme disciplinate dal diritto pubblico,2.2,Amministrazione dello Stato,2.2.10,Presidenza del consiglio
2.0,Forme disciplinate dal diritto pubblico,2.2,Amministrazione dello Stato,2.2.20,Ministero
2.0,Forme disciplinate dal diritto pubblico,2.2,Amministrazione dello Stato,2.2.30,Agenzia dello Stato
2.0,Forme disciplinate dal diritto pubblico,2.2,Amministrazione dello Stato,2.2.40,Archivio notarile
2.0,Forme disciplinate dal diritto pubblico,2.3,Autorità indipendente,2.3.00,Autorità indipendenti
2.0,Forme disciplinate dal diritto pubblico,2.4,Regione e autonomia locale,2.4.10,Regione
2.0,Forme disciplinate dal diritto pubblico,2.4,Regione e autonomia locale,2.4.20,Provincia
2.0,Forme disciplinate dal diritto pubblico,2.4,Regione e autonomia locale,2.4.30,Comune
2.0,Forme disciplinate dal diritto pubblico,2.4,Regione e autonomia locale,2.4.40,Comunità montana o isolana
2.0,Forme disciplinate dal diritto pubblico,2.4,Regione e autonomia locale,2.4.50,Unione di comuni
2.0,Forme disciplinate dal diritto pubblico,2.4,Regione e autonomia locale,2.4.60,Città metropolitana
2.0,Forme disciplinate dal diritto pubblico,2.5,Azienda o ente del servizio sanitario nazionale,2.5.00,Azienda o ente del servizio sanitario nazionale
2.0,Forme disciplinate dal diritto pubblico,2.6,"Istituto, scuola e università pubblica",2.6.10,Istituto e scuola pubblica di ogni ordine e grado
2.0,Forme disciplinate dal diritto pubblico,2.6,"Istituto, scuola e università pubblica",2.6.20,Università pubblica
2.0,Forme disciplinate dal diritto pubblico,2.7,Ente pubblico non economico,2.7.11,Istituto o ente pubblico di ricerca
2.0,Forme disciplinate dal diritto pubblico,2.7,Ente pubblico non economico,2.7.12,Istituto pubblico di assistenza e beneficenza
2.0,Forme disciplinate dal diritto pubblico,2.7,Ente pubblico non economico,2.7.20,Camera di commercio
2.0,Forme disciplinate dal diritto pubblico,2.7,Ente pubblico non economico,2.7.30,Ordine e collegio professionale
2.0,Forme disciplinate dal diritto pubblico,2.7,Ente pubblico non economico,2.7.40,Consorzio di diritto pubblico
2.0,Forme disciplinate dal diritto pubblico,2.7,Ente pubblico non economico,2.7.51,Ente parco
2.0,Forme disciplinate dal diritto pubblico,2.7,Ente pubblico non economico,2.7.52,Ente o autorità portuale
2.0,Forme disciplinate dal diritto pubblico,2.7,Ente pubblico non economico,2.7.53,Ente di sviluppo agricolo regionale o di altro ente locale
2.0,Forme disciplinate dal diritto pubblico,2.7,Ente pubblico non economico,2.7.54,Ente per il turismo
2.0,Forme disciplinate dal diritto pubblico,2.7,Ente pubblico non economico,2.7.55,Ente ambientale regionale
2.0,Forme disciplinate dal diritto pubblico,2.7,Ente pubblico non economico,2.7.56,Ente per la ricerca e per l'aggiornamento educativo
2.0,Forme disciplinate dal diritto pubblico,2.7,Ente pubblico non economico,2.7.57,Agenzia regionale sanitaria
2.0,Forme disciplinate dal diritto pubblico,2.7,Ente pubblico non economico,2.7.58,Agenzia regionale per il lavoro
2.0,Forme disciplinate dal diritto pubblico,2.7,Ente pubblico non economico,2.7.90,Altro ente pubblico non economico nazionale
2.0,Forme disciplinate dal diritto pubblico,2.7,Ente pubblico non economico,2.7.91,Altro ente pubblico non economico locale
