"Codice Ateco 2007",Descrizione,Aggiornamento
01.50.0,Coltivazioni agricole associate all'allevamento di animali: attività mista,
01.50.00,Coltivazioni agricole associate all'allevamento di animali: attività mista,
01.6,ATTIVITÀ DI SUPPORTO ALL'AGRICOLTURA E ATTIVITÀ SUCCESSIVE ALLA RACCOLTA,
01.61,Attività di supporto alla produzione vegetale,
01.61.0,Attività di supporto alla produzione vegetale,
01.61.00,Attività di supporto alla produzione vegetale,
01.62,Attività di supporto alla produzione animale,
01.62.0,Attività di supporto alla produzione animale (esclusi i servizi veterinari),
01.62.01,Attività dei maniscalchi,
01.62.09,Altre attività di supporto alla produzione animale (esclusi i servizi veterinari),
01.63,Attività successive alla raccolta,
01.63.0,Attività che seguono la raccolta,
01.63.00,Attività che seguono la raccolta,
01.64,Lavorazione delle sementi per la semina,
01.64.0,Lavorazione delle sementi per la semina,
01.64.01,Pulitura e cernita di semi e granaglie,
01.64.09,Altre lavorazioni delle sementi per la semina,
01.7,"CACCIA, CATTURA DI ANIMALI E SERVIZI CONNESSI",
01.70,"Caccia, cattura di animali e servizi connessi",
01.70.0,"Caccia, cattura di animali e servizi connessi",
01.70.00,"Caccia, cattura di animali e servizi connessi",
02,SILVICOLTURA ED UTILIZZO DI AREE FORESTALI,
02.1,SILVICOLTURA ED ALTRE ATTIVITÀ FORESTALI,
02.10,Silvicoltura ed altre attività forestali,
02.10.0,Silvicoltura e altre attività forestali,
02.10.00,Silvicoltura e altre attività forestali,
02.2,UTILIZZO DI AREE FORESTALI,
02.20,Utilizzo di aree forestali,
02.20.0,Utilizzo di aree forestali,
02.20.00,Utilizzo di aree forestali,
02.3,RACCOLTA DI PRODOTTI SELVATICI NON LEGNOSI,
02.30,Raccolta di prodotti selvatici non legnosi,
02.30.0,Raccolta di prodotti selvatici non legnosi,
02.30.00,Raccolta di prodotti selvatici non legnosi,
02.4,SERVIZI DI SUPPORTO PER LA SILVICOLTURA,
02.40,Servizi di supporto per la silvicoltura,
02.40.0,Servizi di supporto per la silvicoltura,
02.40.00,Servizi di supporto per la silvicoltura,
03,PESCA E ACQUACOLTURA,
03.1,PESCA,
03.11,Pesca marina,
03.11.0,Pesca in acque marine e lagunari e servizi connessi,
03.11.00,Pesca in acque marine e lagunari e servizi connessi,
03.12,Pesca in acque dolci,
03.12.0,Pesca in acque dolci e servizi connessi,
03.12.00,Pesca in acque dolci e servizi connessi,
03.2,ACQUACOLTURA,
03.21,Acquacoltura marina,
03.21.0,"Acquacoltura in acqua di mare, salmastra o lagunare e servizi connessi",
03.21.00,"Acquacoltura in acqua di mare, salmastra o lagunare e servizi connessi",
03.22,Acquacoltura in acque dolci,
03.22.0,Acquacoltura in acque dolci e servizi connessi,
03.22.00,Acquacoltura in acque dolci e servizi connessi,
B,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,
05,ESTRAZIONE DI CARBONE (ESCLUSA TORBA),
05.1,ESTRAZIONE DI ANTRACITE,
05.10,Estrazione di antracite,
05.10.0,Estrazione di antracite e litantrace,
05.10.00,Estrazione di antracite e litantrace,
05.2,ESTRAZIONE DI LIGNITE,
05.20,Estrazione di lignite,
05.20.0,Estrazione di lignite,
05.20.00,Estrazione di lignite,
06,ESTRAZIONE DI PETROLIO GREGGIO E DI GAS NATURALE,
06.1,ESTRAZIONE DI PETROLIO GREGGIO,
06.10,Estrazione di petrolio greggio,
06.10.0,Estrazione di petrolio greggio,
06.10.00,Estrazione di petrolio greggio,
06.2,ESTRAZIONE DI GAS NATURALE,
06.20,Estrazione di gas naturale,
06.20.0,Estrazione di gas naturale,
06.20.00,Estrazione di gas naturale,
07,ESTRAZIONE DI MINERALI METALLIFERI,
07.1,ESTRAZIONE DI MINERALI METALLIFERI FERROSI,
07.10,Estrazione di minerali metalliferi ferrosi,
07.10.0,Estrazione di minerali metalliferi ferrosi,
07.10.00,Estrazione di minerali metalliferi ferrosi,
07.2,ESTRAZIONE DI MINERALI METALLIFERI NON FERROSI,
07.21,Estrazione di minerali di uranio e di torio,
07.21.0,Estrazione di minerali di uranio e di torio,
07.21.00,Estrazione di minerali di uranio e di torio,
07.29,Estrazione di altri minerali metalliferi non ferrosi,
07.29.0,Estrazione di altri minerali metalliferi non ferrosi,
07.29.00,Estrazione di altri minerali metalliferi non ferrosi,
08,ALTRE ATTIVITÀ DI ESTRAZIONE DI MINERALI DA CAVE E MINIERE,
08.1,"ESTRAZIONE DI PIETRA, SABBIA E ARGILLA",
08.11,"Estrazione di pietre ornamentali e da costruzione, calcare, pietra da gesso, creta e ardesia",
08.11.0,"Estrazione di pietre ornamentali e da costruzione, calcare, pietra da gesso, creta e ardesia",
08.11.00,"Estrazione di pietre ornamentali e da costruzione, calcare, pietra da gesso, creta e ardesia",
08.12,Estrazione di ghiaia e sabbia; estrazione di argille e caolino,
08.12.0,"Estrazione di ghiaia, sabbia; estrazione di argille e caolino",
08.12.00,"Estrazione di ghiaia, sabbia; estrazione di argille e caolino",
08.9,ESTRAZIONE DI MINERALI DA CAVE E MINIERE NCA,
08.91,Estrazione di minerali per l'industria chimica e per la produzione di fertilizzanti,
08.91.0,Estrazione di minerali per l'industria chimica e per la produzione di fertilizzanti,
08.91.00,Estrazione di minerali per l'industria chimica e per la produzione di fertilizzanti,
08.92,Estrazione di torba,
08.92.0,Estrazione di torba,
08.92.00,Estrazione di torba,
08.93,Estrazione di sale,
08.93.0,Estrazione di sale,
08.93.00,Estrazione di sale,
08.99,Estrazione di altri minerali da cave e miniere nca,
08.99.0,Estrazione di altri minerali nca,
08.99.01,Estrazione di asfalto e bitume naturale,
08.99.09,Estrazione di pomice e di altri minerali nca,
09,ATTIVITÀ DEI SERVIZI DI SUPPORTO ALL'ESTRAZIONE,
09.1,ATTIVITÀ DI SUPPORTO ALL'ESTRAZIONE DI PETROLIO E DI GAS NATURALE,
09.10,Attività di supporto all'estrazione di petrolio e di gas naturale,
09.10.0,Attività di supporto all'estrazione di petrolio e di gas naturale,
09.10.00,Attività di supporto all'estrazione di petrolio e di gas naturale,
09.9,ATTIVITÀ DI SUPPORTO PER L'ESTRAZIONE DA CAVE E MINIERE DI ALTRI MINERALI,
09.90,Attività di supporto per l'estrazione da cave e miniere di altri minerali,
09.90.0,Attività di supporto per l'estrazione da cave e miniere di altri minerali,
09.90.01,"Attività di supporto all'estrazione di pietre ornamentali, da costruzione, da gesso, di anidrite, per calce e cementi, di dolomite, di ardesia, di ghiaia e sabbia, di argilla, di caolino, di pomice",
09.90.09,Attività di supporto all'estrazione di altri minerali nca,
C,ATTIVITÀ MANIFATTURIERE,
10,INDUSTRIE ALIMENTARI,
10.1,LAVORAZIONE E CONSERVAZIONE DI CARNE E PRODUZIONE DI PRODOTTI A BASE DI CARNE,
10.11,Lavorazione e conservazione di carne (escluso volatili),
10.11.0,Produzione di carne non di volatili e di prodotti della macellazione (attività dei mattatoi),
10.11.00,Produzione di carne non di volatili e di prodotti della macellazione (attività dei mattatoi),
10.12,Lavorazione e conservazione di carne di volatili,
10.12.0,Produzione di carne di volatili e prodotti della loro macellazione (attività dei mattatoi),
10.12.00,Produzione di carne di volatili e prodotti della loro macellazione (attività dei mattatoi),
10.13,Produzione di prodotti a base di carne (inclusa la carne di volatili),
10.13.0,Produzione di prodotti a base di carne (inclusa la carne di volatili),
10.13.00,Produzione di prodotti a base di carne (inclusa la carne di volatili),
10.2,"LAVORAZIONE E CONSERVAZIONE DI PESCE, CROSTACEI E MOLLUSCHI",
10.20,"Lavorazione e conservazione di pesce, crostacei e molluschi",
10.20.0,"Lavorazione e conservazione di pesce, crostacei e molluschi mediante surgelamento, salatura eccetera",
10.20.00,"Lavorazione e conservazione di pesce, crostacei e molluschi mediante surgelamento, salatura eccetera",
10.3,LAVORAZIONE E CONSERVAZIONE DI FRUTTA E ORTAGGI,
10.31,Lavorazione e conservazione delle patate,
10.31.0,Lavorazione e conservazione delle patate,
10.31.00,Lavorazione e conservazione delle patate,
10.32,Produzione di succhi di frutta e di ortaggi,
10.32.0,Produzione di succhi di frutta e di ortaggi,
10.32.00,Produzione di succhi di frutta e di ortaggi,
10.39,Altra Lavorazione e conservazione di frutta e di ortaggi,
10.39.0,Lavorazione e conservazione di frutta e di ortaggi (esclusi i succhi di frutta e di ortaggi),
10.39.00,Lavorazione e conservazione di frutta e di ortaggi (esclusi i succhi di frutta e di ortaggi),
10.4,PRODUZIONE DI OLI E GRASSI VEGETALI E ANIMALI,
10.41,Produzione di oli e grassi,
10.41.1,Produzione di olio di oliva da olive prevalentemente non di produzione propria,
10.41.10,Produzione di olio di oliva da olive prevalentemente non di produzione propria,
10.41.2,Produzione di olio raffinato o grezzo da semi oleosi o frutti oleosi prevalentemente non di produzione propria,
10.41.20,Produzione di olio raffinato o grezzo da semi oleosi o frutti oleosi prevalentemente non di produzione propria,
10.41.3,Produzione di oli e grassi animali grezzi o raffinati,
10.41.30,Produzione di oli e grassi animali grezzi o raffinati,
10.42,Produzione di margarina e di grassi commestibili simili,
10.42.0,Produzione di margarina e di grassi commestibili simili,
10.42.00,Produzione di margarina e di grassi commestibili simili,
10.5,INDUSTRIA LATTIERO-CASEARIA,
10.51,"Industria lattiero-casearia, trattamento igienico, conservazione del latte",
10.51.1,Trattamento igienico del latte,
10.51.10,Trattamento igienico del latte,
10.51.2,Produzione dei derivati del latte,
10.51.20,Produzione dei derivati del latte,
10.52,Produzione di gelati,
10.52.0,Produzione di gelati senza vendita diretta al pubblico,
10.52.00,Produzione di gelati senza vendita diretta al pubblico,
10.6,"LAVORAZIONE DELLE GRANAGLIE, PRODUZIONE DI AMIDI E DI PRODOTTI AMIDACEI",
10.61,Lavorazione delle granaglie,
10.61.1,Molitura del frumento,
10.61.10,Molitura del frumento,
10.61.2,Molitura di altri cereali,
10.61.20,Molitura di altri cereali,
10.61.3,Lavorazione del riso,
10.61.30,Lavorazione del riso,
10.61.4,Altre lavorazioni di semi e granaglie,
10.61.40,Altre lavorazioni di semi e granaglie,
10.62,Produzione di amidi e di prodotti amidacei,
10.62.0,Produzione di amidi e di prodotti amidacei (inclusa produzione di olio di mais),
10.62.00,Produzione di amidi e di prodotti amidacei (inclusa produzione di olio di mais),
10.7,PRODUZIONE DI PRODOTTI DA FORNO E FARINACEI,
10.71,Produzione di pane; prodotti di pasticceria freschi,
10.71.1,Produzione di prodotti di panetteria freschi,
10.71.10,Produzione di prodotti di panetteria freschi,
10.71.2,Produzione di pasticceria fresca,
10.71.20,Produzione di pasticceria fresca,
10.72,Produzione di fette biscottate e di biscotti; produzione di prodotti di pasticceria conservati,
10.72.0,"Produzione di fette biscottate, biscotti; prodotti di pasticceria conservati",
10.72.00,"Produzione di fette biscottate, biscotti; prodotti di pasticceria conservati",
10.73,"Produzione di paste alimentari, di cuscus e di prodotti farinacei simili",
10.73.0,"Produzione di paste alimentari, di cuscus e di prodotti farinacei simili",
10.73.00,"Produzione di paste alimentari, di cuscus e di prodotti farinacei simili",
10.8,PRODUZIONE DI ALTRI PRODOTTI ALIMENTARI,
10.81,Produzione di zucchero,
10.81.0,Produzione di zucchero,
10.81.00,Produzione di zucchero,
10.82,"Produzione di cacao, cioccolato, caramelle e confetterie",
10.82.0,"Produzione di cacao in polvere, cioccolato, caramelle e confetterie",
10.82.00,"Produzione di cacao in polvere, cioccolato, caramelle e confetterie",
10.83,Lavorazione del tè e del caffè,
10.83.0,Lavorazione del tè e del caffè,
10.83.01,Lavorazione del caffè,
10.83.02,Lavorazione del tè e di altri preparati per infusi,
10.84,Produzione di condimenti e spezie,
10.84.0,Produzione di condimenti e spezie,
10.84.00,Produzione di condimenti e spezie,
10.85,Produzione di pasti e piatti preparati,
10.85.0,"Produzione di pasti e piatti pronti (preparati, conditi, cucinati e confezionati)",
10.85.01,Produzione di piatti pronti a base di carne e pollame,
10.85.02,"Produzione di piatti pronti a base di pesce, inclusi fish and chips",
10.85.03,Produzione di piatti pronti a base di ortaggi,
10.85.04,Produzione di pizza confezionata,
10.85.05,Produzione di piatti pronti a base di pasta,
10.85.09,Produzione di pasti e piatti pronti di altri prodotti alimentari,
10.86,Produzione di preparati omogeneizzati e di alimenti dietetici,
10.86.0,Produzione di preparati omogeneizzati e di alimenti dietetici,
10.86.00,Produzione di preparati omogeneizzati e di alimenti dietetici,
10.89,Produzione di prodotti alimentari nca,
10.89.0,Produzione di prodotti alimentari nca,
10.89.01,Produzione di estratti e succhi di carne,
10.89.09,Produzione di altri prodotti alimentari nca,
10.9,PRODUZIONE DI PRODOTTI PER L'ALIMENTAZIONE DEGLI ANIMALI,
10.91,Produzione di mangimi per l'alimentazione degli animali da allevamento,
10.91.0,Produzione di mangimi per l'alimentazione degli animali da allevamento,
10.91.00,Produzione di mangimi per l'alimentazione degli animali da allevamento,
10.92,Produzione di prodotti per l'alimentazione degli animali da compagnia,
10.92.0,Produzione di prodotti per l'alimentazione degli animali da compagnia,
10.92.00,Produzione di prodotti per l'alimentazione degli animali da compagnia,
11,INDUSTRIA DELLE BEVANDE,
11.0,INDUSTRIA DELLE BEVANDE,
11.01,"Distillazione, rettifica e miscelatura degli alcolici",
11.01.0,"Distillazione, rettifica e miscelatura degli alcolici",
11.01.00,"Distillazione, rettifica e miscelatura degli alcolici",
11.02,Produzione di vini da uve,
11.02.1,Produzione di vini da tavola e v.q.p.r.d.,
11.02.10,Produzione di vini da tavola e v.q.p.r.d.,
11.02.2,Produzione di vino spumante e altri vini speciali,
11.02.20,Produzione di vino spumante e altri vini speciali,
11.03,Produzione di sidro e di altri vini a base di frutta,
11.03.0,Produzione di sidro e di altri vini a base di frutta,
11.03.00,Produzione di sidro e di altri vini a base di frutta,
11.04,Produzione di altre bevande fermentate non distillate,
11.04.0,Produzione di altre bevande fermentate non distillate,
11.04.00,Produzione di altre bevande fermentate non distillate,
11.05,Produzione di birra,
11.05.0,Produzione di birra,
11.05.00,Produzione di birra,
11.06,Produzione di malto,
11.06.0,Produzione di malto,
11.06.00,Produzione di malto,
11.07,"Industria delle bibite analcoliche, delle acque minerali e di altre acque in bottiglia",
11.07.0,"Industria delle bibite analcoliche, delle acque minerali e di altre acque in bottiglia",
11.07.00,"Industria delle bibite analcoliche, delle acque minerali e di altre acque in bottiglia",
12,INDUSTRIA DEL TABACCO,
12.0,INDUSTRIA DEL TABACCO,
12.00,Industria del tabacco,
12.00.0,Industria del tabacco,
12.00.00,Industria del tabacco,
13,INDUSTRIE TESSILI,
13.1,PREPARAZIONE E FILATURA DI FIBRE TESSILI,
13.10,Preparazione e filatura di fibre tessili,
13.10.0,Preparazione e filatura di fibre tessili,
13.10.00,Preparazione e filatura di fibre tessili,
13.2,TESSITURA,
13.20,Tessitura,
13.20.0,Tessitura,
13.20.00,Tessitura,
13.3,FINISSAGGIO DEI TESSILI,
13.30,Finissaggio dei tessili,
13.30.0,"Finissaggio dei tessili, degli articoli di vestiario e attività similari",
13.30.00,"Finissaggio dei tessili, degli articoli di vestiario e attività similari",
13.9,ALTRE INDUSTRIE TESSILI,
13.91,Fabbricazione di tessuti a maglia,
13.91.0,Fabbricazione di tessuti a maglia,
13.91.00,Fabbricazione di tessuti a maglia,
13.92,Confezionamento di articoli tessili (esclusi gli articoli di abbigliamento),
13.92.1,"Confezionamento di biancheria da letto, da tavola e per l'arredamento",
13.92.10,"Confezionamento di biancheria da letto, da tavola e per l'arredamento",
13.92.2,Fabbricazione di articoli in materie tessili nca,
13.92.20,Fabbricazione di articoli in materie tessili nca,
13.93,Fabbricazione di tappeti e moquette,
13.93.0,Fabbricazione di tappeti e moquette,
13.93.00,Fabbricazione di tappeti e moquette,
13.94,"Fabbricazione di spago, corde, funi e reti",
13.94.0,"Fabbricazione di spago, corde, funi e reti",
13.94.00,"Fabbricazione di spago, corde, funi e reti",
13.95,Fabbricazione di tessuti non tessuti e di articoli in tali materie (esclusi gli articoli di abbigliamento),
13.95.0,Fabbricazione di tessuti non tessuti e di articoli in tali materie (esclusi gli articoli di abbigliamento),
13.95.00,Fabbricazione di tessuti non tessuti e di articoli in tali materie (esclusi gli articoli di abbigliamento),
13.96,Fabbricazione di articoli tessili tecnici ed industriali,
13.96.1,"Fabbricazione di nastri, etichette e passamanerie di fibre tessili",
13.96.10,"Fabbricazione di nastri, etichette e passamanerie di fibre tessili",
13.96.2,Fabbricazione di altri articoli tessili tecnici ed industriali,
13.96.20,Fabbricazione di altri articoli tessili tecnici ed industriali,
13.99,Fabbricazione di altri prodotti tessili nca,
13.99.1,Fabbricazione di ricami,
13.99.10,Fabbricazione di ricami,
13.99.2,"Fabbricazione di tulle, pizzi e merletti",
13.99.20,"Fabbricazione di tulle, pizzi e merletti",
13.99.9,Fabbricazione di feltro e articoli tessili diversi,
13.99.90,Fabbricazione di feltro e articoli tessili diversi,
14,CONFEZIONE DI ARTICOLI DI ABBIGLIAMENTO; CONFEZIONE DI ARTICOLI IN PELLE E PELLICCIA,
14.1,CONFEZIONE DI ARTICOLI DI ABBIGLIAMENTO (ESCLUSO ABBIGLIAMENTO IN PELLICCIA),
14.11,Confezione di abbigliamento in pelle,
14.11.0,Confezione di abbigliamento in pelle e similpelle,
14.11.00,Confezione di abbigliamento in pelle e similpelle,
14.12,Confezione di indumenti da lavoro,
14.12.0,"Confezione di camici, divise ed altri indumenti da lavoro",
14.12.00,"Confezione di camici, divise ed altri indumenti da lavoro",
14.13,Confezione di altro abbigliamento esterno,
14.13.1,Confezione in serie di abbigliamento esterno,
14.13.10,Confezione in serie di abbigliamento esterno,
14.13.2,Sartoria e confezione su misura di abbigliamento esterno,
14.13.20,Sartoria e confezione su misura di abbigliamento esterno,
14.14,Confezione di biancheria intima,
14.14.0,"Confezione di camicie, T-shirt, corsetteria e altra biancheria intima",
14.14.00,"Confezione di camicie, T-shirt, corsetteria e altra biancheria intima",
14.19,Confezione di altri articoli di abbigliamento ed accessori,
14.19.1,Confezioni varie e accessori per l'abbigliamento,
14.19.10,Confezioni varie e accessori per l'abbigliamento,
14.19.2,Confezioni di abbigliamento sportivo o indumenti particolari,
14.19.21,Fabbricazione di calzature realizzate in materiale tessile senza suole applicate,
14.19.29,Confezioni di abbigliamento sportivo o di altri indumenti particolari,
14.2,CONFEZIONE DI ARTICOLI IN PELLICCIA,
14.20,Confezione di articoli in pelliccia,
14.20.0,Confezione di articoli in pelliccia,
14.20.00,Confezione di articoli in pelliccia,
14.3,FABBRICAZIONE DI ARTICOLI DI MAGLIERIA,
14.31,Fabbricazione di articoli di calzetteria in maglia,
14.31.0,Fabbricazione di articoli di calzetteria in maglia,
14.31.00,Fabbricazione di articoli di calzetteria in maglia,
14.39,Fabbricazione di altri articoli di maglieria,
14.39.0,"Fabbricazione di pullover, cardigan ed altri articoli simili a maglia",
14.39.00,"Fabbricazione di pullover, cardigan ed altri articoli simili a maglia",
15,FABBRICAZIONE DI ARTICOLI IN PELLE E SIMILI,
15.1,"PREPARAZIONE E CONCIA DEL CUOIO; FABBRICAZIONE DI ARTICOLI DA VIAGGIO, BORSE, PELLETTERIA E SELLERIA; PREPARAZIONE E TINTURA DI PELLICCE",
15.11,Preparazione e concia del cuoio; preparazione e tintura di pellicce,
15.11.0,Preparazione e concia del cuoio e pelle; preparazione e tintura di pellicce,
15.11.00,Preparazione e concia del cuoio e pelle; preparazione e tintura di pellicce,
15.12,"Fabbricazione di articoli da viaggio, borse e simili, pelletteria e selleria",
15.12.0,"Fabbricazione di articoli da viaggio, borse e simili, pelletteria e selleria",
15.12.01,Fabbricazione di frustini e scudisci per equitazione,
15.12.09,"Fabbricazione di altri articoli da viaggio, borse e simili, pelletteria e selleria",
15.2,FABBRICAZIONE DI CALZATURE,
15.20,Fabbricazione di calzature,
15.20.1,Fabbricazione di calzature,
15.20.10,Fabbricazione di calzature,
15.20.2,Fabbricazione di parti in cuoio per calzature,
15.20.20,Fabbricazione di parti in cuoio per calzature,
16,INDUSTRIA DEL LEGNO E DEI PRODOTTI IN LEGNO E SUGHERO (ESCLUSI I MOBILI); FABBRICAZIONE DI ARTICOLI IN PAGLIA E MATERIALI DA INTRECCIO,
16.1,TAGLIO E PIALLATURA DEL LEGNO,
16.10,Taglio e piallatura del legno,
16.10.0,Taglio e piallatura del legno,
16.10.00,Taglio e piallatura del legno,
16.2,"FABBRICAZIONE DI PRODOTTI IN LEGNO, SUGHERO, PAGLIA E MATERIALI DA INTRECCIO",
16.21,Fabbricazione di fogli da impiallacciatura e di pannelli a base di legno,
16.21.0,Fabbricazione di fogli da impiallacciatura e di pannelli a base di legno,
16.21.00,Fabbricazione di fogli da impiallacciatura e di pannelli a base di legno,
16.22,Fabbricazione di pavimenti in parquet assemblato,
16.22.0,Fabbricazione di pavimenti in parquet assemblato,
16.22.00,Fabbricazione di pavimenti in parquet assemblato,
16.23,Fabbricazione di altri prodotti di carpenteria in legno e falegnameria per l'edilizia,
16.23.1,Fabbricazione di porte e finestre in legno (escluse porte blindate),
16.23.10,Fabbricazione di porte e finestre in legno (escluse porte blindate),
16.23.2,Fabbricazione di altri elementi in legno e di falegnameria per l'edilizia,
16.23.20,Fabbricazione di altri elementi in legno e di falegnameria per l'edilizia,
16.24,Fabbricazione di imballaggi in legno,
16.24.0,Fabbricazione di imballaggi in legno,
16.24.00,Fabbricazione di imballaggi in legno,
16.29,"Fabbricazione di altri prodotti in legno, sughero, paglia e materiali da intreccio",
16.29.1,Fabbricazione di prodotti vari in legno (esclusi i mobili),
16.29.11,Fabbricazione di parti in legno per calzature,
