codice_1_livello,label_1_livello_ENG,codice_2_livello,label_2_livello_ENG,definizione_ENG,codice_3_livello,label_3_livello_ENG,definizione_3_livello_ENG
PE,Physical Sciences and Engineering,PE2,Fundamental Constituents of Matter,"Particle, nuclear, plasma, atomic, molecular, gas, and optical physics",PE2_3,Nuclear physics,
PE,Physical Sciences and Engineering,PE2,Fundamental Constituents of Matter,"Particle, nuclear, plasma, atomic, molecular, gas, and optical physics",PE2_4,Nuclear astrophysics,
PE,Physical Sciences and Engineering,PE2,Fundamental Constituents of Matter,"Particle, nuclear, plasma, atomic, molecular, gas, and optical physics",PE2_5,Gas and plasma physics,
PE,Physical Sciences and Engineering,PE2,Fundamental Constituents of Matter,"Particle, nuclear, plasma, atomic, molecular, gas, and optical physics",PE2_6,Electromagnetism,
PE,Physical Sciences and Engineering,PE2,Fundamental Constituents of Matter,"Particle, nuclear, plasma, atomic, molecular, gas, and optical physics",PE2_7,"Atomic, molecular physics",
PE,Physical Sciences and Engineering,PE2,Fundamental Constituents of Matter,"Particle, nuclear, plasma, atomic, molecular, gas, and optical physics",PE2_8,Ultra-cold atoms and molecules,
PE,Physical Sciences and Engineering,PE2,Fundamental Constituents of Matter,"Particle, nuclear, plasma, atomic, molecular, gas, and optical physics",PE2_9,"Optics, non-linear optics and nano-optics",
PE,Physical Sciences and Engineering,PE2,Fundamental Constituents of Matter,"Particle, nuclear, plasma, atomic, molecular, gas, and optical physics",PE2_10,Quantum optics and quantum information,
PE,Physical Sciences and Engineering,PE2,Fundamental Constituents of Matter,"Particle, nuclear, plasma, atomic, molecular, gas, and optical physics",PE2_11,"Lasers, ultra-short lasers and laser physics",
PE,Physical Sciences and Engineering,PE2,Fundamental Constituents of Matter,"Particle, nuclear, plasma, atomic, molecular, gas, and optical physics",PE2_12,Relativity,
PE,Physical Sciences and Engineering,PE2,Fundamental Constituents of Matter,"Particle, nuclear, plasma, atomic, molecular, gas, and optical physics",PE2_13,Thermodynamics,
PE,Physical Sciences and Engineering,PE2,Fundamental Constituents of Matter,"Particle, nuclear, plasma, atomic, molecular, gas, and optical physics",PE2_14,Non-linear physics,
PE,Physical Sciences and Engineering,PE2,Fundamental Constituents of Matter,"Particle, nuclear, plasma, atomic, molecular, gas, and optical physics",PE2_15,Metrology and measurement,
PE,Physical Sciences and Engineering,PE2,Fundamental Constituents of Matter,"Particle, nuclear, plasma, atomic, molecular, gas, and optical physics",PE2_16,Statistical physics (gases),
PE,Physical Sciences and Engineering,PE3,Condensed Matter Physics,"Structure, electronic properties, fluids, nanosciences, biological physics",PE3_1,"Structure of solids, material growth and characterisation",
PE,Physical Sciences and Engineering,PE3,Condensed Matter Physics,"Structure, electronic properties, fluids, nanosciences, biological physics",PE3_2,"Mechanical and acoustical properties of condensed matter, Lattice dynamics",
PE,Physical Sciences and Engineering,PE3,Condensed Matter Physics,"Structure, electronic properties, fluids, nanosciences, biological physics",PE3_3,Transport properties of condensed matter,
PE,Physical Sciences and Engineering,PE3,Condensed Matter Physics,"Structure, electronic properties, fluids, nanosciences, biological physics",PE3_4,"Electronic properties of materials, surfaces, interfaces, nanostructures, etc.",
PE,Physical Sciences and Engineering,PE3,Condensed Matter Physics,"Structure, electronic properties, fluids, nanosciences, biological physics",PE3_5,Physical properties of semiconductors and insulators,
PE,Physical Sciences and Engineering,PE3,Condensed Matter Physics,"Structure, electronic properties, fluids, nanosciences, biological physics",PE3_6,Macroscopic quantum phenomena,"It includes superconductivity, superfluidity, etc"
PE,Physical Sciences and Engineering,PE3,Condensed Matter Physics,"Structure, electronic properties, fluids, nanosciences, biological physics",PE3_7,Spintronics,
PE,Physical Sciences and Engineering,PE3,Condensed Matter Physics,"Structure, electronic properties, fluids, nanosciences, biological physics",PE3_8,Magnetism and strongly correlated systems,
PE,Physical Sciences and Engineering,PE3,Condensed Matter Physics,"Structure, electronic properties, fluids, nanosciences, biological physics",PE3_9,Condensed matter –beam interactions,"photons, electrons, etc."
PE,Physical Sciences and Engineering,PE3,Condensed Matter Physics,"Structure, electronic properties, fluids, nanosciences, biological physics",PE3_10,Nanophysics,"It includes nanoelectronics, nanophotonics, nanomagnetism, nanoelectromechanics, etc."
PE,Physical Sciences and Engineering,PE3,Condensed Matter Physics,"Structure, electronic properties, fluids, nanosciences, biological physics",PE3_11,Mesoscopic physics,
PE,Physical Sciences and Engineering,PE3,Condensed Matter Physics,"Structure, electronic properties, fluids, nanosciences, biological physics",PE3_12,Molecular electronics,
PE,Physical Sciences and Engineering,PE3,Condensed Matter Physics,"Structure, electronic properties, fluids, nanosciences, biological physics",PE3_13,Structure anddynamics of disordered systems,"i.e., softmatter (gels, colloids, liquid crystals, etc.), liquids, glasses, defects, etc."
PE,Physical Sciences and Engineering,PE3,Condensed Matter Physics,"Structure, electronic properties, fluids, nanosciences, biological physics",PE3_14,Fluid dynamics (physics),
PE,Physical Sciences and Engineering,PE3,Condensed Matter Physics,"Structure, electronic properties, fluids, nanosciences, biological physics",PE3_15,Statistical physics,"It includes phase transitions, noise and fluctuations, models of complex systems, etc."
PE,Physical Sciences and Engineering,PE3,Condensed Matter Physics,"Structure, electronic properties, fluids, nanosciences, biological physics",PE3_16,Physics of biological systems,
PE,Physical Sciences and Engineering,PE4,Physical and Analytical Chemical Sciences,"Analytical chemistry, chemical theory, physical chemistry/chemical physics",PE4_1,Physical chemistry,
PE,Physical Sciences and Engineering,PE4,Physical and Analytical Chemical Sciences,"Analytical chemistry, chemical theory, physical chemistry/chemical physics",PE4_2,Spectroscopic and spectrometric techniques,
PE,Physical Sciences and Engineering,PE4,Physical and Analytical Chemical Sciences,"Analytical chemistry, chemical theory, physical chemistry/chemical physics",PE4_3,Molecular architecture and Structure,
PE,Physical Sciences and Engineering,PE4,Physical and Analytical Chemical Sciences,"Analytical chemistry, chemical theory, physical chemistry/chemical physics",PE4_4,Surface science and nanostructures,
PE,Physical Sciences and Engineering,PE4,Physical and Analytical Chemical Sciences,"Analytical chemistry, chemical theory, physical chemistry/chemical physics",PE4_5,Analytical chemistry,
PE,Physical Sciences and Engineering,PE4,Physical and Analytical Chemical Sciences,"Analytical chemistry, chemical theory, physical chemistry/chemical physics",PE4_6,Chemical physics,
PE,Physical Sciences and Engineering,PE4,Physical and Analytical Chemical Sciences,"Analytical chemistry, chemical theory, physical chemistry/chemical physics",PE4_7,Chemical instrumentation,
PE,Physical Sciences and Engineering,PE4,Physical and Analytical Chemical Sciences,"Analytical chemistry, chemical theory, physical chemistry/chemical physics",PE4_8,"Electrochemistry, electrodialysis, microfluidics, sensors",
PE,Physical Sciences and Engineering,PE4,Physical and Analytical Chemical Sciences,"Analytical chemistry, chemical theory, physical chemistry/chemical physics",PE4_9,Method development in chemistry,
PE,Physical Sciences and Engineering,PE4,Physical and Analytical Chemical Sciences,"Analytical chemistry, chemical theory, physical chemistry/chemical physics",PE4_10,Heterogeneous catalysis,
PE,Physical Sciences and Engineering,PE4,Physical and Analytical Chemical Sciences,"Analytical chemistry, chemical theory, physical chemistry/chemical physics",PE4_11,Physical chemistry of biological systems,
PE,Physical Sciences and Engineering,PE4,Physical and Analytical Chemical Sciences,"Analytical chemistry, chemical theory, physical chemistry/chemical physics",PE4_12,Chemical reactions,"It includes mechanisms, dynamics, kinetics and catalytic reactions"
PE,Physical Sciences and Engineering,PE4,Physical and Analytical Chemical Sciences,"Analytical chemistry, chemical theory, physical chemistry/chemical physics",PE4_13,Theoretical and computational chemistry,
PE,Physical Sciences and Engineering,PE4,Physical and Analytical Chemical Sciences,"Analytical chemistry, chemical theory, physical chemistry/chemical physics",PE4_14,Radiation and Nuclear chemistry,
PE,Physical Sciences and Engineering,PE4,Physical and Analytical Chemical Sciences,"Analytical chemistry, chemical theory, physical chemistry/chemical physics",PE4_15,Photochemistry,
PE,Physical Sciences and Engineering,PE4,Physical and Analytical Chemical Sciences,"Analytical chemistry, chemical theory, physical chemistry/chemical physics",PE4_16,Corrosion,
PE,Physical Sciences and Engineering,PE4,Physical and Analytical Chemical Sciences,"Analytical chemistry, chemical theory, physical chemistry/chemical physics",PE4_17,Characterisation methods of materials,
PE,Physical Sciences and Engineering,PE4,Physical and Analytical Chemical Sciences,"Analytical chemistry, chemical theory, physical chemistry/chemical physics",PE4_18,Environment chemistry,
PE,Physical Sciences and Engineering,PE5,Synthetic Chemistry and Materials,"Materials synthesis, structure-properties relations, functional and advanced materials, molecular architecture, organic chemistry",PE5_1,Structural properties of materials,
PE,Physical Sciences and Engineering,PE5,Synthetic Chemistry and Materials,"Materials synthesis, structure-properties relations, functional and advanced materials, molecular architecture, organic chemistry",PE5_2,Solid state materials,
PE,Physical Sciences and Engineering,PE5,Synthetic Chemistry and Materials,"Materials synthesis, structure-properties relations, functional and advanced materials, molecular architecture, organic chemistry",PE5_3,Surface modification,
PE,Physical Sciences and Engineering,PE5,Synthetic Chemistry and Materials,"Materials synthesis, structure-properties relations, functional and advanced materials, molecular architecture, organic chemistry",PE5_4,Thin films,
PE,Physical Sciences and Engineering,PE5,Synthetic Chemistry and Materials,"Materials synthesis, structure-properties relations, functional and advanced materials, molecular architecture, organic chemistry",PE5_5,Ionic liquids,
PE,Physical Sciences and Engineering,PE5,Synthetic Chemistry and Materials,"Materials synthesis, structure-properties relations, functional and advanced materials, molecular architecture, organic chemistry",PE5_6,New materials,"It includes oxides, alloys, composite, organic-inorganic hybrid, nanoparticles"
PE,Physical Sciences and Engineering,PE5,Synthetic Chemistry and Materials,"Materials synthesis, structure-properties relations, functional and advanced materials, molecular architecture, organic chemistry",PE5_7,"Biomaterials, biomaterials synthesis",
PE,Physical Sciences and Engineering,PE5,Synthetic Chemistry and Materials,"Materials synthesis, structure-properties relations, functional and advanced materials, molecular architecture, organic chemistry",PE5_8,Intelligent materials –self assembled materials,
PE,Physical Sciences and Engineering,PE5,Synthetic Chemistry and Materials,"Materials synthesis, structure-properties relations, functional and advanced materials, molecular architecture, organic chemistry",PE5_9,Coordination chemistry,
PE,Physical Sciences and Engineering,PE5,Synthetic Chemistry and Materials,"Materials synthesis, structure-properties relations, functional and advanced materials, molecular architecture, organic chemistry",PE5_10,Colloid chemistry,
PE,Physical Sciences and Engineering,PE5,Synthetic Chemistry and Materials,"Materials synthesis, structure-properties relations, functional and advanced materials, molecular architecture, organic chemistry",PE5_11,Biological chemistry,
PE,Physical Sciences and Engineering,PE5,Synthetic Chemistry and Materials,"Materials synthesis, structure-properties relations, functional and advanced materials, molecular architecture, organic chemistry",PE5_12,Chemistry of condensed matter,
PE,Physical Sciences and Engineering,PE5,Synthetic Chemistry and Materials,"Materials synthesis, structure-properties relations, functional and advanced materials, molecular architecture, organic chemistry",PE5_13,Homogeneous catalysis,
PE,Physical Sciences and Engineering,PE5,Synthetic Chemistry and Materials,"Materials synthesis, structure-properties relations, functional and advanced materials, molecular architecture, organic chemistry",PE5_14,Macromolecular chemistry,
PE,Physical Sciences and Engineering,PE5,Synthetic Chemistry and Materials,"Materials synthesis, structure-properties relations, functional and advanced materials, molecular architecture, organic chemistry",PE5_15,Polymer chemistry,
PE,Physical Sciences and Engineering,PE5,Synthetic Chemistry and Materials,"Materials synthesis, structure-properties relations, functional and advanced materials, molecular architecture, organic chemistry",PE5_16,Supramolecular chemistry,
PE,Physical Sciences and Engineering,PE5,Synthetic Chemistry and Materials,"Materials synthesis, structure-properties relations, functional and advanced materials, molecular architecture, organic chemistry",PE5_17,Organic chemistry,
PE,Physical Sciences and Engineering,PE5,Synthetic Chemistry and Materials,"Materials synthesis, structure-properties relations, functional and advanced materials, molecular architecture, organic chemistry",PE5_18,Medicinal chemistry,
PE,Physical Sciences and Engineering,PE6,Computer Science and Informatics,"Informatics and information systems, computer science, scientific computing, intelligent systems",PE6_1,"Computer architecture, pervasive computing, ubiquitous computing",
PE,Physical Sciences and Engineering,PE6,Computer Science and Informatics,"Informatics and information systems, computer science, scientific computing, intelligent systems",PE6_2,"Computer systems, parallel/distributed systems, sensor networks, embeddedsystems, cyber-physical systems",
PE,Physical Sciences and Engineering,PE6,Computer Science and Informatics,"Informatics and information systems, computer science, scientific computing, intelligent systems",PE6_3,"Software engineering, operating systems, computer languages",
PE,Physical Sciences and Engineering,PE6,Computer Science and Informatics,"Informatics and information systems, computer science, scientific computing, intelligent systems",PE6_4,"Theoretical computer science, formal methods, and quantum computing",
PE,Physical Sciences and Engineering,PE6,Computer Science and Informatics,"Informatics and information systems, computer science, scientific computing, intelligent systems",PE6_5,"Cryptology, security, privacy, quantum cryptography",
PE,Physical Sciences and Engineering,PE6,Computer Science and Informatics,"Informatics and information systems, computer science, scientific computing, intelligent systems",PE6_6,"Algorithms, distributed, parallel and network algorithms, algorithmic game theory",
PE,Physical Sciences and Engineering,PE6,Computer Science and Informatics,"Informatics and information systems, computer science, scientific computing, intelligent systems",PE6_7,"Artificial intelligence, intelligent systems, multi agent systems",
PE,Physical Sciences and Engineering,PE6,Computer Science and Informatics,"Informatics and information systems, computer science, scientific computing, intelligent systems",PE6_8,"Computer graphics, computer vision, multi media, computer games",
PE,Physical Sciences and Engineering,PE6,Computer Science and Informatics,"Informatics and information systems, computer science, scientific computing, intelligent systems",PE6_9,"Human computer interaction and interface, visualisation and natural language processing",
PE,Physical Sciences and Engineering,PE6,Computer Science and Informatics,"Informatics and information systems, computer science, scientific computing, intelligent systems",PE6_10,"Web and information systems, database systems, information retrieval and digital libraries, data fusion",
PE,Physical Sciences and Engineering,PE6,Computer Science and Informatics,"Informatics and information systems, computer science, scientific computing, intelligent systems",PE6_11,"Machine learning, statistical data processing and applications using signalprocessing","e.g. speech, image, video"
PE,Physical Sciences and Engineering,PE6,Computer Science and Informatics,"Informatics and information systems, computer science, scientific computing, intelligent systems",PE6_12,"Scientific computing, simulation and modelling tools",
PE,Physical Sciences and Engineering,PE6,Computer Science and Informatics,"Informatics and information systems, computer science, scientific computing, intelligent systems",PE6_13,"Bioinformatics, biocomputing, and DNA and molecular computation",
PE,Physical Sciences and Engineering,PE7,Systems and Communication Engineering,"Electrical, electronic, communication, optical and systems engineering",PE7_1,Control engineering,
PE,Physical Sciences and Engineering,PE7,Systems and Communication Engineering,"Electrical, electronic, communication, optical and systems engineering",PE7_2,Electrical engineering,It includes power components and/or systems
PE,Physical Sciences and Engineering,PE7,Systems and Communication Engineering,"Electrical, electronic, communication, optical and systems engineering",PE7_3,Simulation engineering and modelling,
PE,Physical Sciences and Engineering,PE7,Systems and Communication Engineering,"Electrical, electronic, communication, optical and systems engineering",PE7_4,(Micro-and nano-) systems engineering,
PE,Physical Sciences and Engineering,PE7,Systems and Communication Engineering,"Electrical, electronic, communication, optical and systems engineering",PE7_5,"(Micro-and nano-) electronic, optoelectronic and photonic components",
PE,Physical Sciences and Engineering,PE7,Systems and Communication Engineering,"Electrical, electronic, communication, optical and systems engineering",PE7_6,"Communication technology, high-frequency technology",
PE,Physical Sciences and Engineering,PE7,Systems and Communication Engineering,"Electrical, electronic, communication, optical and systems engineering",PE7_7,Signal processing,
PE,Physical Sciences and Engineering,PE7,Systems and Communication Engineering,"Electrical, electronic, communication, optical and systems engineering",PE7_8,Networks,"communication networks, sensor networks, networks of robots, etc."
PE,Physical Sciences and Engineering,PE7,Systems and Communication Engineering,"Electrical, electronic, communication, optical and systems engineering",PE7_9,Man-machine interfaces,
PE,Physical Sciences and Engineering,PE7,Systems and Communication Engineering,"Electrical, electronic, communication, optical and systems engineering",PE7_10,Robotics,
PE,Physical Sciences and Engineering,PE7,Systems and Communication Engineering,"Electrical, electronic, communication, optical and systems engineering",PE7_11,Components and systems for applications,"in e.g. medicine, biology, environment"
PE,Physical Sciences and Engineering,PE7,Systems and Communication Engineering,"Electrical, electronic, communication, optical and systems engineering",PE7_12,"Electrical energy production, distribution, application",
PE,Physical Sciences and Engineering,PE8,Products and Processes Engineering,"Product design, process design and control, construction methods, civil engineering, energy processes, material engineering",PE8_1,Aerospace engineering,
PE,Physical Sciences and Engineering,PE8,Products and Processes Engineering,"Product design, process design and control, construction methods, civil engineering, energy processes, material engineering",PE8_2,"Chemical engineering, technical chemistry",
PE,Physical Sciences and Engineering,PE8,Products and Processes Engineering,"Product design, process design and control, construction methods, civil engineering, energy processes, material engineering",PE8_3,"Civil engineering, architecture, maritime/hydraulic engineering, geotechnics, waste treatment",
PE,Physical Sciences and Engineering,PE8,Products and Processes Engineering,"Product design, process design and control, construction methods, civil engineering, energy processes, material engineering",PE8_4,Computational engineering,
PE,Physical Sciences and Engineering,PE8,Products and Processes Engineering,"Product design, process design and control, construction methods, civil engineering, energy processes, material engineering",PE8_5,"Fluid mechanics, hydraulic-, turbo-, and piston-engines",
PE,Physical Sciences and Engineering,PE8,Products and Processes Engineering,"Product design, process design and control, construction methods, civil engineering, energy processes, material engineering",PE8_6,Energy processes engineering,
PE,Physical Sciences and Engineering,PE8,Products and Processes Engineering,"Product design, process design and control, construction methods, civil engineering, energy processes, material engineering",PE8_7,Mechanical and manufacturing engineering,"shaping, mounting, joining, separation"
PE,Physical Sciences and Engineering,PE8,Products and Processes Engineering,"Product design, process design and control, construction methods, civil engineering, energy processes, material engineering",PE8_8,Materials engineering,"biomaterials, metals, ceramics, polymers, composites, etc."
PE,Physical Sciences and Engineering,PE8,Products and Processes Engineering,"Product design, process design and control, construction methods, civil engineering, energy processes, material engineering",PE8_9,"Production technology, process engineering",
PE,Physical Sciences and Engineering,PE8,Products and Processes Engineering,"Product design, process design and control, construction methods, civil engineering, energy processes, material engineering",PE8_10,Industrial design,"product design, ergonomics, man-machine interfaces, etc."
PE,Physical Sciences and Engineering,PE8,Products and Processes Engineering,"Product design, process design and control, construction methods, civil engineering, energy processes, material engineering",PE8_11,Sustainable design,"Sustainable design for recycling, for environment, eco-design"
PE,Physical Sciences and Engineering,PE8,Products and Processes Engineering,"Product design, process design and control, construction methods, civil engineering, energy processes, material engineering",PE8_12,"Lightweight construction, textile technology",
PE,Physical Sciences and Engineering,PE8,Products and Processes Engineering,"Product design, process design and control, construction methods, civil engineering, energy processes, material engineering",PE8_13,Industrial bioengineering,
PE,Physical Sciences and Engineering,PE9,Universe Sciences,"Astro-physics/chemistry/biology; solar system; stellar, galactic and extragalactic astronomy, planetary systems, cosmology, space science, instrumentation",PE9_1,Solar and interplanetary physics,
PE,Physical Sciences and Engineering,PE9,Universe Sciences,"Astro-physics/chemistry/biology; solar system; stellar, galactic and extragalactic astronomy, planetary systems, cosmology, space science, instrumentation",PE9_2,Planetary systemssciences,
PE,Physical Sciences and Engineering,PE9,Universe Sciences,"Astro-physics/chemistry/biology; solar system; stellar, galactic and extragalactic astronomy, planetary systems, cosmology, space science, instrumentation",PE9_3,Interstellar medium,
PE,Physical Sciences and Engineering,PE9,Universe Sciences,"Astro-physics/chemistry/biology; solar system; stellar, galactic and extragalactic astronomy, planetary systems, cosmology, space science, instrumentation",PE9_4,Formation of stars and planets,
PE,Physical Sciences and Engineering,PE9,Universe Sciences,"Astro-physics/chemistry/biology; solar system; stellar, galactic and extragalactic astronomy, planetary systems, cosmology, space science, instrumentation",PE9_5,Astrobiology,
PE,Physical Sciences and Engineering,PE9,Universe Sciences,"Astro-physics/chemistry/biology; solar system; stellar, galactic and extragalactic astronomy, planetary systems, cosmology, space science, instrumentation",PE9_6,Stars and stellar systems,
PE,Physical Sciences and Engineering,PE9,Universe Sciences,"Astro-physics/chemistry/biology; solar system; stellar, galactic and extragalactic astronomy, planetary systems, cosmology, space science, instrumentation",PE9_7,The Galaxy,
PE,Physical Sciences and Engineering,PE9,Universe Sciences,"Astro-physics/chemistry/biology; solar system; stellar, galactic and extragalactic astronomy, planetary systems, cosmology, space science, instrumentation",PE9_8,Formation and evolution of galaxies,
PE,Physical Sciences and Engineering,PE9,Universe Sciences,"Astro-physics/chemistry/biology; solar system; stellar, galactic and extragalactic astronomy, planetary systems, cosmology, space science, instrumentation",PE9_9,Clusters of galaxies and large scale structures,
PE,Physical Sciences and Engineering,PE9,Universe Sciences,"Astro-physics/chemistry/biology; solar system; stellar, galactic and extragalactic astronomy, planetary systems, cosmology, space science, instrumentation",PE9_10,"Highenergy and particles astronomy –X-rays, cosmic rays, gamma rays, neutrinos",
PE,Physical Sciences and Engineering,PE9,Universe Sciences,"Astro-physics/chemistry/biology; solar system; stellar, galactic and extragalactic astronomy, planetary systems, cosmology, space science, instrumentation",PE9_11,Relativistic astrophysics,
PE,Physical Sciences and Engineering,PE9,Universe Sciences,"Astro-physics/chemistry/biology; solar system; stellar, galactic and extragalactic astronomy, planetary systems, cosmology, space science, instrumentation",PE9_12,"Dark matter, dark energy",
PE,Physical Sciences and Engineering,PE9,Universe Sciences,"Astro-physics/chemistry/biology; solar system; stellar, galactic and extragalactic astronomy, planetary systems, cosmology, space science, instrumentation",PE9_13,Gravitational astronomy,
PE,Physical Sciences and Engineering,PE9,Universe Sciences,"Astro-physics/chemistry/biology; solar system; stellar, galactic and extragalactic astronomy, planetary systems, cosmology, space science, instrumentation",PE9_14,Cosmology,
PE,Physical Sciences and Engineering,PE9,Universe Sciences,"Astro-physics/chemistry/biology; solar system; stellar, galactic and extragalactic astronomy, planetary systems, cosmology, space science, instrumentation",PE9_15,Space Sciences,
PE,Physical Sciences and Engineering,PE9,Universe Sciences,"Astro-physics/chemistry/biology; solar system; stellar, galactic and extragalactic astronomy, planetary systems, cosmology, space science, instrumentation",PE9_16,"Very large data bases: archiving, handling and analysis",
PE,Physical Sciences and Engineering,PE9,Universe Sciences,"Astro-physics/chemistry/biology; solar system; stellar, galactic and extragalactic astronomy, planetary systems, cosmology, space science, instrumentation",PE9_17,"Instrumentation -telescopes, detectors and techniques",
PE,Physical Sciences and Engineering,PE10,Earth System Science,"Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management",PE10_1,"Atmospheric chemistry, atmospheric composition, air pollution",
PE,Physical Sciences and Engineering,PE10,Earth System Science,"Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management",PE10_2,"Meteorology, atmospheric physics and dynamics",
PE,Physical Sciences and Engineering,PE10,Earth System Science,"Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management",PE10_3,Climatology and climate change,
PE,Physical Sciences and Engineering,PE10,Earth System Science,"Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management",PE10_4,"Terrestrial ecology, land cover change",
PE,Physical Sciences and Engineering,PE10,Earth System Science,"Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management",PE10_5,"Geology, tectonics, volcanology",
PE,Physical Sciences and Engineering,PE10,Earth System Science,"Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management",PE10_6,"Palaeoclimatology, palaeoecology",
PE,Physical Sciences and Engineering,PE10,Earth System Science,"Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management",PE10_7,"Physics of earth’s interior, seismology, volcanology",
PE,Physical Sciences and Engineering,PE10,Earth System Science,"Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management",PE10_8,Oceanography,"physical, chemical, biological, geological"
PE,Physical Sciences and Engineering,PE10,Earth System Science,"Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management",PE10_9,"Biogeochemistry, biogeochemical cycles, environmental chemistry",
