id_obbligo,label_ita_obbligo,organizzazione_nome,organizzazione_ipa,classificazione_S13_codice
030201,Obbligo di pubblicazione concernente gli amministratori e gli esperti nominati da organi giurisdizionali o amministrativi,Presidenza del Consiglio dei Ministri,,101
030301,Obbligo di pubblicazione concernente gli amministratori e gli esperti nominati da parte dei Prefetti,Presidenza del Consiglio dei Ministri,,101
040101,Obbligo di pubblicazione concernente i titolari di incarichi amministrativi di vertice,Presidenza del Consiglio dei Ministri,PCM,101
040102,Obbligo di pubblicazione concernente i titolari di incarichi dirigenziali,Presidenza del Consiglio dei Ministri,PCM,101
040202,Obbligo di pubblicazione del numero di posti di funzione disponibili,Presidenza del Consiglio dei Ministri,PCM,101
040203,Obbligo di pubblicazione del ruolo dirigenti,Presidenza del Consiglio dei Ministri,PCM,101
040301,Obbligo di pubblicazione concernente i dirigenti cessati,Presidenza del Consiglio dei Ministri,PCM,101
020201,Obbligo di pubblicazione delle sanzioni per mancata comunicazione dei dati,Presidenza del Consiglio dei Ministri,PCM,101
040501,Obbligo di pubblicazione concernente i titolari di posizioni organizzative,Presidenza del Consiglio dei Ministri,PCM,101
040601,Obbligo di pubblicazione concernente la dotazione organica,Presidenza del Consiglio dei Ministri,PCM,101
040701,Obbligo di pubblicazione concernente il personale non a tempo indeterminato,Presidenza del Consiglio dei Ministri,PCM,101
04070101,Obbligo di pubblicazione concernente il costo del personale non a tempo indeterminato,Presidenza del Consiglio dei Ministri,PCM,101
040801,Obbligo di pubblicazione dei tassi di assenza trimestrali,Presidenza del Consiglio dei Ministri,PCM,101
040901,Obbligo di pubblicazione riguardante gli incarichi conferiti e autorizzati ai dipendenti,Presidenza del Consiglio dei Ministri,PCM,101
041001,Obbligo di pubblicazione riguardante i riferimenti alla contrattazione collettiva,Presidenza del Consiglio dei Ministri,PCM,101
041101,Obbligo di pubblicazione riguardante i riferimenti alla contrattazione integrativa,Presidenza del Consiglio dei Ministri,PCM,101
04110101,Obbligo di pubblicazione riguardante il costo dei contratti integrativi,Presidenza del Consiglio dei Ministri,PCM,101
050101,Obbligo di pubblicazione relativo all'elenco dei bandi espletati ,Presidenza del Consiglio dei Ministri,PCM,101
050102,Obbligo di pubblicazione relativo ai bandi di concorso,Presidenza del Consiglio dei Ministri,PCM,101
060101,Obbligo di pubblicazione del sistema di misurazione e valutazione della Performance,Presidenza del Consiglio dei Ministri,PCM,101
060201,Obbligo di pubblicazione del Piano della Performance e Piano esecutivo di gestione,Presidenza del Consiglio dei Ministri,PCM,101
060301,Obbligo di pubblicazione della Relazione sulla Performance,Presidenza del Consiglio dei Ministri,PCM,101
060401,Obbligo di pubblicazione dell'ammontare complessivo dei premi,Presidenza del Consiglio dei Ministri,PCM,101
060501,Obbligo di pubblicazione dei dati relativi ai premi,Presidenza del Consiglio dei Ministri,PCM,101
070101,Obbligo di pubblicazione dei dati relativi agli enti pubblici vigilati,Presidenza del Consiglio dei Ministri,PCM,101
070201,Obbligo di pubblicazione dei dati relativi alle società  partecipate,Presidenza del Consiglio dei Ministri,PCM,101
070301,Obbligo di pubblicazione dei dati relativi agli enti di diritto privato controllati,Presidenza del Consiglio dei Ministri,PCM,101
070401,Obbligo di pubblicazione della rappresentazione grafica degli enti controllati,Presidenza del Consiglio dei Ministri,PCM,101
080101,Obbligo di pubblicazione relativi alle tipologie di procedimenti amministrativi ,Presidenza del Consiglio dei Ministri,PCM,101
080201,Obbligo di pubblicazione dei recapiti dell'ufficio responsabile,Presidenza del Consiglio dei Ministri,PCM,101
090101,Obbligo di pubblicazione concernente provvedimenti degli organi di indirizzo politico,Presidenza del Consiglio dei Ministri,PCM,101
090201,Obbligo di pubblicazione concernente provvedimenti di dirigenti amministrativi,Presidenza del Consiglio dei Ministri,PCM,101
100101,Obbligo di pubblicazione dei dati relativi alle procedure di gara anno corrente,Presidenza del Consiglio dei Ministri,PCM,101
100102,Obbligo di pubblicazione dei dati relativi alle procedure di gara anni passati,Presidenza del Consiglio dei Ministri,PCM,101
100201,"Obbligo di pubblicazione concernente atti relativi alla programmazione di lavori, opere, servizi e forniture",Presidenza del Consiglio dei Ministri,PCM,101
100202,Obbligo di pubblicazione concernente atti relativi alle procedure per l'affidamento di appalti pubblici,Presidenza del Consiglio dei Ministri,PCM,101
100203,Obbligo di pubblicazione concernente provvedimenti di esclusione e di ammissione,Presidenza del Consiglio dei Ministri,PCM,101
100204,Obbligo di pubblicazione concernente la commissione giudicatrice,Presidenza del Consiglio dei Ministri,PCM,101
100205,Obbligo di pubblicazione concernente i contratti di acquisto di beni e servizi,Presidenza del Consiglio dei Ministri,PCM,101
100206,Obbligo di pubblicazione concernente i resoconti della gestione finanziaria dei contratti al termine della loro esecuzione,Presidenza del Consiglio dei Ministri,PCM,101
110101,"Obbligo di pubblicazione di criteri e modalità  di concessione di sovvenzioni, contributi, sussidi ed ausili finanziari",Presidenza del Consiglio dei Ministri,PCM,101
110201,Obbligo di pubblicazione di atti di concessione,Presidenza del Consiglio dei Ministri,PCM,101
120101,Obbligo di pubblicazione del bilancio preventivo,Presidenza del Consiglio dei Ministri,PCM,101
120102,Obbligo di pubblicazione del bilancio consuntivo,Presidenza del Consiglio dei Ministri,PCM,101
120201,Obbligo di pubblicazione del piano degli indicatori e dei risultati attesi di bilancio,Presidenza del Consiglio dei Ministri,PCM,101
130101,Obbligo di pubblicazione concernente il patrimonio immobiliare,Presidenza del Consiglio dei Ministri,PCM,101
130201,Obbligo di pubblicazione concernente canoni di locazione,Presidenza del Consiglio dei Ministri,PCM,101
140101,Obbligo di pubblicazione concernente gli atti degli organismi di valutazione,Presidenza del Consiglio dei Ministri,PCM,101
140201,Obbligo di pubblicazione concernente le relazioni degli organi di revisione amministrativa e contabile,Presidenza del Consiglio dei Ministri,PCM,101
140301,Obbligo di pubblicazione concernente i rilievi Corte dei conti,Presidenza del Consiglio dei Ministri,PCM,101
150101,Obbligo di pubblicazione concernente carta dei servizi e standard di qualità ,Presidenza del Consiglio dei Ministri,PCM,101
150201,Obbligo di pubblicazione concernente la class action,Presidenza del Consiglio dei Ministri,,101
150301,Obbligo di pubblicazione concernentei costi contabilizzati,Presidenza del Consiglio dei Ministri,PCM,101
150401,Obbligo di pubblicazione concernente le liste di attesa,Presidenza del Consiglio dei Ministri,,101
150401,Obbligo di pubblicazione concernente i dati relativi alle liste d'attesa,Presidenza del Consiglio dei Ministri,,101
150501,Obbligo di pubblicazione concernente l'utilizzo e gradimento servizi in rete,Presidenza del Consiglio dei Ministri,PCM,101
150601,Obbligo di pubblicazione dei dati sui pagamenti,Presidenza del Consiglio dei Ministri,PCM,101
150701,Obbligo di pubblicazione dei dati sui pagamenti del SSN,Presidenza del Consiglio dei Ministri,,101
150801,Obbligo di pubblicazione relativo all'indicatore di tempestività  dei pagamenti,Presidenza del Consiglio dei Ministri,PCM,101
15080101,Obbligo di pubblicazione relativo all'indicatore trimestrale di tempestività  dei pagamenti,Presidenza del Consiglio dei Ministri,PCM,101
150802,Obbligo di pubblicazione relativo all'ammontare complessivo dei debiti,Presidenza del Consiglio dei Ministri,PCM,101
150901,Obbligo di pubblicazione delle informazioni su iBAN e pagamenti informatici,Presidenza del Consiglio dei Ministri,PCM,101
160101,Obbligo di pubblicazione relativo ai nuclei di valutazione e verifica degli investimenti pubblici ,Presidenza del Consiglio dei Ministri,PCM,101
160201,Obbligo di pubblicazione degli atti di programmazione delle opere pubbliche,Presidenza del Consiglio dei Ministri,PCM,101
160301,"Obbligo di pubblicazione di tempi, costi unitari e indicatori di realizzazione delle opere pubbliche in corso o completate.",Presidenza del Consiglio dei Ministri,PCM,101
170101,Obbligo di trasparenza concernente gli atti di governo del territorio,Presidenza del Consiglio dei Ministri,PCM,101
170102,Obbligo di trasparenza concernente la documentazione relativa a ciascun procedimento di presentazione e approvazione delle proposte di trasformazione urbanistica,Presidenza del Consiglio dei Ministri,,101
180101,Obbligo di pubblicazione delle informazioni ambientali,Presidenza del Consiglio dei Ministri,PCM,101
190101,Obbligo di pubblicazione concernente le strutture sanitarie private accreditate,Presidenza del Consiglio dei Ministri,,101
200101,Obbligo di pubblicazione concernente gli interventi straordinari e di emergenza,Presidenza del Consiglio dei Ministri,PCM,101
010101,Obbligo inerente la pubblicazione del Piano triennale per la prevenzione della corruzione e della trasparenza (PTCT),Presidenza del Consiglio dei Ministri,PCM,101
210102,Obbligo di pubblicazione riguardante il responsabile della prevenzione della corruzione e della trasparenza,Presidenza del Consiglio dei Ministri,PCM,101
210104,Obbligo di pubblicazione della relazione del responsabile della prevenzione della corruzione e della trasparenza ,Presidenza del Consiglio dei Ministri,PCM,101
210105,Obbligo di pubblicazione dei provvedimenti adottati dall'A.N.AC. ,Presidenza del Consiglio dei Ministri,PCM,101
210106,Obbligo di pubblicazione di atti di accertamento delle violazioni ,Presidenza del Consiglio dei Ministri,PCM,101
210201,"Obbligo di pubblicazione concernente le richeste di accesso civico ""semplice""",Presidenza del Consiglio dei Ministri,PCM,101
210202,"Obbligo di pubblicazione concernente le richeste di accesso civico ""generalizzato""",Presidenza del Consiglio dei Ministri,PCM,101
210203,Obbligo di pubblicazione del registro degli accessi ,Presidenza del Consiglio dei Ministri,PCM,101
210301,"Obbligo di pubblicazione Catalogo dei dati, metadati e delle banche dati",Presidenza del Consiglio dei Ministri,PCM,101
210302,Obbligo di pubblicazione dei regolamenti su accesso telematico e il riutilizzo dei dati,Presidenza del Consiglio dei Ministri,PCM,101
210303,Obbligo di pubblicazione di obiettivi di accessibilità ,Presidenza del Consiglio dei Ministri,PCM,101
010101,Obbligo inerente la pubblicazione del Piano triennale per la prevenzione della corruzione e della trasparenza (PTCT),Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
010201,Obbligo di pubblicazione di riferimenti normativi su organizzazione e attività ,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
010202,Obbligo di pubblicazione di atti amministrativi generali,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
010203,Obbligo di pubblicazione di documenti di programmazione strategico-gestionale,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
010204,Obbligo di pubblicazione di statuti e leggi regionali,Ministero degli Affari Esteri e della Cooperazione Internazionale,,101
010205,Obbligo di pubblicazione del codice disciplinare e codice di condotta,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
010301,Obbligo di pubblicazione dello scadenzario obblighi amministrativi,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
020102,Obbligo di pubblicazione concernente i titolari di incarichi politici,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
020107,"Obbligo di pubblicazione concernente i titolari di incarichi di amministrazione, di direzione o di governo",Ministero degli Affari Esteri e della Cooperazione Internazionale,,101
020106,Obbligo di pubblicazione concernente i titolari cessati dall'incarico,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
020201,Obbligo di pubblicazione delle sanzioni per mancata comunicazione dei dati,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
020301,Obbligo di pubblicazione dei rendiconti gruppi consiliari regionali e provinciali,Ministero degli Affari Esteri e della Cooperazione Internazionale,,101
020302,Obbligo di pubblicazione degli atti degli organi di controllo,Ministero degli Affari Esteri e della Cooperazione Internazionale,,101
020401,Obbligo di pubblicazione concernente l'articolazione degli uffici,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
020501,Obbligo di pubblicazione dei recapiti degli uffici,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
030101,Obbligo di pubblicazione concernente i titolari di incarichi di collaborazione o consulenza,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
030201,Obbligo di pubblicazione concernente gli amministratori e gli esperti nominati da organi giurisdizionali o amministrativi,Ministero degli Affari Esteri e della Cooperazione Internazionale,,101
030301,Obbligo di pubblicazione concernente gli amministratori e gli esperti nominati da parte dei Prefetti,Ministero degli Affari Esteri e della Cooperazione Internazionale,,101
040101,Obbligo di pubblicazione concernente i titolari di incarichi amministrativi di vertice,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
040102,Obbligo di pubblicazione concernente i titolari di incarichi dirigenziali,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
040202,Obbligo di pubblicazione del numero di posti di funzione disponibili,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
040203,Obbligo di pubblicazione del ruolo dirigenti,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
040301,Obbligo di pubblicazione concernente i dirigenti cessati,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
020201,Obbligo di pubblicazione delle sanzioni per mancata comunicazione dei dati,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
040501,Obbligo di pubblicazione concernente i titolari di posizioni organizzative,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
040601,Obbligo di pubblicazione concernente la dotazione organica,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
040701,Obbligo di pubblicazione concernente il personale non a tempo indeterminato,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
04070101,Obbligo di pubblicazione concernente il costo del personale non a tempo indeterminato,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
040801,Obbligo di pubblicazione dei tassi di assenza trimestrali,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
040901,Obbligo di pubblicazione riguardante gli incarichi conferiti e autorizzati ai dipendenti,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
041001,Obbligo di pubblicazione riguardante i riferimenti alla contrattazione collettiva,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
041101,Obbligo di pubblicazione riguardante i riferimenti alla contrattazione integrativa,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
04110101,Obbligo di pubblicazione riguardante il costo dei contratti integrativi,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
050101,Obbligo di pubblicazione relativo all'elenco dei bandi espletati ,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
050102,Obbligo di pubblicazione relativo ai bandi di concorso,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
060101,Obbligo di pubblicazione del sistema di misurazione e valutazione della Performance,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
060201,Obbligo di pubblicazione del Piano della Performance e Piano esecutivo di gestione,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
060301,Obbligo di pubblicazione della Relazione sulla Performance,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
060401,Obbligo di pubblicazione dell'ammontare complessivo dei premi,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
060501,Obbligo di pubblicazione dei dati relativi ai premi,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
070101,Obbligo di pubblicazione dei dati relativi agli enti pubblici vigilati,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
070201,Obbligo di pubblicazione dei dati relativi alle società  partecipate,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
070301,Obbligo di pubblicazione dei dati relativi agli enti di diritto privato controllati,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
070401,Obbligo di pubblicazione della rappresentazione grafica degli enti controllati,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
080101,Obbligo di pubblicazione relativi alle tipologie di procedimenti amministrativi ,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
080201,Obbligo di pubblicazione dei recapiti dell'ufficio responsabile,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
090101,Obbligo di pubblicazione concernente provvedimenti degli organi di indirizzo politico,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
090201,Obbligo di pubblicazione concernente provvedimenti di dirigenti amministrativi,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
100101,Obbligo di pubblicazione dei dati relativi alle procedure di gara anno corrente,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
100102,Obbligo di pubblicazione dei dati relativi alle procedure di gara anni passati,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
100201,"Obbligo di pubblicazione concernente atti relativi alla programmazione di lavori, opere, servizi e forniture",Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
100202,Obbligo di pubblicazione concernente atti relativi alle procedure per l'affidamento di appalti pubblici,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
100203,Obbligo di pubblicazione concernente provvedimenti di esclusione e di ammissione,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
100204,Obbligo di pubblicazione concernente la commissione giudicatrice,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
100205,Obbligo di pubblicazione concernente i contratti di acquisto di beni e servizi,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
100206,Obbligo di pubblicazione concernente i resoconti della gestione finanziaria dei contratti al termine della loro esecuzione,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
110101,"Obbligo di pubblicazione di criteri e modalità  di concessione di sovvenzioni, contributi, sussidi ed ausili finanziari",Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
110201,Obbligo di pubblicazione di atti di concessione,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
120101,Obbligo di pubblicazione del bilancio preventivo,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
120102,Obbligo di pubblicazione del bilancio consuntivo,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
120201,Obbligo di pubblicazione del piano degli indicatori e dei risultati attesi di bilancio,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
130101,Obbligo di pubblicazione concernente il patrimonio immobiliare,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
130201,Obbligo di pubblicazione concernente canoni di locazione,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
140101,Obbligo di pubblicazione concernente gli atti degli organismi di valutazione,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
140201,Obbligo di pubblicazione concernente le relazioni degli organi di revisione amministrativa e contabile,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
140301,Obbligo di pubblicazione concernente i rilievi Corte dei conti,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
150101,Obbligo di pubblicazione concernente carta dei servizi e standard di qualità ,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
150201,Obbligo di pubblicazione concernente la class action,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
150301,Obbligo di pubblicazione concernentei costi contabilizzati,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
150401,Obbligo di pubblicazione concernente le liste di attesa,Ministero degli Affari Esteri e della Cooperazione Internazionale,,101
150401,Obbligo di pubblicazione concernente i dati relativi alle liste d'attesa,Ministero degli Affari Esteri e della Cooperazione Internazionale,,101
150501,Obbligo di pubblicazione concernente l'utilizzo e gradimento servizi in rete,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
150601,Obbligo di pubblicazione dei dati sui pagamenti,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
150701,Obbligo di pubblicazione dei dati sui pagamenti del SSN,Ministero degli Affari Esteri e della Cooperazione Internazionale,,101
150801,Obbligo di pubblicazione relativo all'indicatore di tempestività  dei pagamenti,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
15080101,Obbligo di pubblicazione relativo all'indicatore trimestrale di tempestività  dei pagamenti,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
150802,Obbligo di pubblicazione relativo all'ammontare complessivo dei debiti,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
150901,Obbligo di pubblicazione delle informazioni su iBAN e pagamenti informatici,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
160101,Obbligo di pubblicazione relativo ai nuclei di valutazione e verifica degli investimenti pubblici ,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
160201,Obbligo di pubblicazione degli atti di programmazione delle opere pubbliche,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
160301,"Obbligo di pubblicazione di tempi, costi unitari e indicatori di realizzazione delle opere pubbliche in corso o completate.",Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
170101,Obbligo di trasparenza concernente gli atti di governo del territorio,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
170102,Obbligo di trasparenza concernente la documentazione relativa a ciascun procedimento di presentazione e approvazione delle proposte di trasformazione urbanistica,Ministero degli Affari Esteri e della Cooperazione Internazionale,,101
180101,Obbligo di pubblicazione delle informazioni ambientali,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
190101,Obbligo di pubblicazione concernente le strutture sanitarie private accreditate,Ministero degli Affari Esteri e della Cooperazione Internazionale,,101
200101,Obbligo di pubblicazione concernente gli interventi straordinari e di emergenza,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
010101,Obbligo inerente la pubblicazione del Piano triennale per la prevenzione della corruzione e della trasparenza (PTCT),Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
210102,Obbligo di pubblicazione riguardante il responsabile della prevenzione della corruzione e della trasparenza,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
210104,Obbligo di pubblicazione della relazione del responsabile della prevenzione della corruzione e della trasparenza ,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
210105,Obbligo di pubblicazione dei provvedimenti adottati dall'A.N.AC. ,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
210106,Obbligo di pubblicazione di atti di accertamento delle violazioni ,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
210201,"Obbligo di pubblicazione concernente le richeste di accesso civico ""semplice""",Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
210202,"Obbligo di pubblicazione concernente le richeste di accesso civico ""generalizzato""",Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
210203,Obbligo di pubblicazione del registro degli accessi ,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
210301,"Obbligo di pubblicazione Catalogo dei dati, metadati e delle banche dati",Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
210302,Obbligo di pubblicazione dei regolamenti su accesso telematico e il riutilizzo dei dati,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
210303,Obbligo di pubblicazione di obiettivi di accessibilità ,Ministero degli Affari Esteri e della Cooperazione Internazionale,m_ae,101
010101,Obbligo inerente la pubblicazione del Piano triennale per la prevenzione della corruzione e della trasparenza (PTCT),Ministero del Lavoro e delle Politiche Sociali,m_lps,101
010201,Obbligo di pubblicazione di riferimenti normativi su organizzazione e attività ,Ministero del Lavoro e delle Politiche Sociali,m_lps,101
010202,Obbligo di pubblicazione di atti amministrativi generali,Ministero del Lavoro e delle Politiche Sociali,m_lps,101
010203,Obbligo di pubblicazione di documenti di programmazione strategico-gestionale,Ministero del Lavoro e delle Politiche Sociali,m_lps,101
010204,Obbligo di pubblicazione di statuti e leggi regionali,Ministero del Lavoro e delle Politiche Sociali,,101
010205,Obbligo di pubblicazione del codice disciplinare e codice di condotta,Ministero del Lavoro e delle Politiche Sociali,m_lps,101
010301,Obbligo di pubblicazione dello scadenzario obblighi amministrativi,Ministero del Lavoro e delle Politiche Sociali,m_lps,101
020102,Obbligo di pubblicazione concernente i titolari di incarichi politici,Ministero del Lavoro e delle Politiche Sociali,m_lps,101
020107,"Obbligo di pubblicazione concernente i titolari di incarichi di amministrazione, di direzione o di governo",Ministero del Lavoro e delle Politiche Sociali,,101
020106,Obbligo di pubblicazione concernente i titolari cessati dall'incarico,Ministero del Lavoro e delle Politiche Sociali,m_lps,101
020201,Obbligo di pubblicazione delle sanzioni per mancata comunicazione dei dati,Ministero del Lavoro e delle Politiche Sociali,m_lps,101
020301,Obbligo di pubblicazione dei rendiconti gruppi consiliari regionali e provinciali,Ministero del Lavoro e delle Politiche Sociali,,101
020302,Obbligo di pubblicazione degli atti degli organi di controllo,Ministero del Lavoro e delle Politiche Sociali,,101
020401,Obbligo di pubblicazione concernente l'articolazione degli uffici,Ministero del Lavoro e delle Politiche Sociali,m_lps,101
020501,Obbligo di pubblicazione dei recapiti degli uffici,Ministero del Lavoro e delle Politiche Sociali,m_lps,101
030101,Obbligo di pubblicazione concernente i titolari di incarichi di collaborazione o consulenza,Ministero del Lavoro e delle Politiche Sociali,m_lps,101
030201,Obbligo di pubblicazione concernente gli amministratori e gli esperti nominati da organi giurisdizionali o amministrativi,Ministero del Lavoro e delle Politiche Sociali,,101
030301,Obbligo di pubblicazione concernente gli amministratori e gli esperti nominati da parte dei Prefetti,Ministero del Lavoro e delle Politiche Sociali,,101
040101,Obbligo di pubblicazione concernente i titolari di incarichi amministrativi di vertice,Ministero del Lavoro e delle Politiche Sociali,m_lps,101
040102,Obbligo di pubblicazione concernente i titolari di incarichi dirigenziali,Ministero del Lavoro e delle Politiche Sociali,m_lps,101
040202,Obbligo di pubblicazione del numero di posti di funzione disponibili,Ministero del Lavoro e delle Politiche Sociali,m_lps,101
040203,Obbligo di pubblicazione del ruolo dirigenti,Ministero del Lavoro e delle Politiche Sociali,m_lps,101
040301,Obbligo di pubblicazione concernente i dirigenti cessati,Ministero del Lavoro e delle Politiche Sociali,m_lps,101
020201,Obbligo di pubblicazione delle sanzioni per mancata comunicazione dei dati,Ministero del Lavoro e delle Politiche Sociali,m_lps,101
040501,Obbligo di pubblicazione concernente i titolari di posizioni organizzative,Ministero del Lavoro e delle Politiche Sociali,m_lps,101
