B. Licenza Non Aperta;B.1. Solo uso non commerciale;B.1.4 Creative Commons Attribution-NonCommercial 2.5 Generic (CC BY-NC 2.5)
B. Licenza Non Aperta;B.1. Solo uso non commerciale;B.1.5 Creative Commons Attribuzione - Non Commerciale 2.5 Italia (CC BY-NC 2.5 IT)
B. Licenza Non Aperta;B.1. Solo uso non commerciale;B.1.6 Creative Commons Attribution-NonCommercial 2.0 Generic (CC BY-NC 2.0)
B. Licenza Non Aperta;B.1. Solo uso non commerciale;B.1.7 Creative Commons Attribuzione - Non Commerciale 2.0 Italia (CC BY-NC 2.0 IT)
B. Licenza Non Aperta;B.1. Solo uso non commerciale;B.1.8 Creative Commons Attribution - NonCommercial 1.0 Generic (CC BY-NC 1.0)
B. Licenza Non Aperta;B.1. Solo uso non commerciale;B.1.9 Creative Commons Attribution_NonCommercial - ShareAlike 4.0 International (CC BY-NC-SA 4.0)
B. Licenza Non Aperta;B.1. Solo uso non commerciale;B.1.10 Creative Commons Attribution-NonCommercial - ShareAlike 3.0 Unported (CC BY-NC-SA 3.0)
B. Licenza Non Aperta;B.1. Solo uso non commerciale;B.1.11 Creative Commons Attribuzione_Non Commerciale - Condivisione allo stesso modo 3.0 Italia (CC BY-NC-SA 3.0 IT)
B. Licenza Non Aperta;B.1. Solo uso non commerciale;B.1.12 Creative Commons Attribution-NonCommercial-ShareAlike 2.5 Generic (CC BY-NC-SA 2.5)
B. Licenza Non Aperta;B.1. Solo uso non commerciale;B.1.13 Creative Commons Attribuzione_Non Commerciale - Condivisione allo stesso modo 2.5 Italia (CC BY-NC-SA 2.5 IT)
B. Licenza Non Aperta;B.1. Solo uso non commerciale;B.1.14 Creative Commons Attribution-NonCommercial-ShareAlike 2.0 Generic (CC BY-NC-SA 2.0)
B. Licenza Non Aperta;B.1. Solo uso non commerciale;B.1.15 Creative Commons Attribuzione_Non Commerciale - Condivisione allo stesso modo 2.0 Italia (CC BY-NC-SA 2.0 IT)
B. Licenza Non Aperta;B.1. Solo uso non commerciale;B.1.16 Creative Commons Attribution_NonCommercial - ShareAlike 1.0 Generic (CC-BY-NC-SA 1.0)
B. Licenza Non Aperta;B.2. Non opere derivate;B.2.1 Creative Commons Attribution_NoDerivs 4.0 International (CC BY-ND 4.0)
B. Licenza Non Aperta;B.2. Non opere derivate;B.2.2 Creative Commons Attribution-NoDerivs 3.0 Unported (CC BY-ND 3.0)
B. Licenza Non Aperta;B.2. Non opere derivate;B.2.3 Creative Commons Attribuzione_Non opere derivate 3.0 Italia (CC BY-ND 3.0 IT)
B. Licenza Non Aperta;B.2. Non opere derivate;B.2.4 Creative Commons Attribution-NoDerivs 2.5 Generic (CC BY-ND 2.5)
B. Licenza Non Aperta;B.2. Non opere derivate;B.2.5 Creative Commons Attribution_Non opere derivate 2.5 Italia (CC BY-ND 2.5 IT)
B. Licenza Non Aperta;B.2. Non opere derivate;B.2.6 Creative Commons Attribution-NoDerivs 2.0 Generic (CC BY-ND 2.0)
B. Licenza Non Aperta;B.2. Non opere derivate;B.2.7 Creative Commons Attribution_Non opere derivate 2.0 italia (CC BY-ND 2.0 IT)
B. Licenza Non Aperta;B.2. Non opere derivate;B.2.8 Creative Commons Attribution_NonDerivs 1.0 Generic (CC BY-ND 1.0)
B. Licenza Non Aperta;B.2. Non opere derivate;B.2.9 Creative Commons Attribution_NoDerivs-NonCommercial 1.0 Generic (CC BY-ND-NC 1.0)
C. Licenza sconosciuta;C.1. Licenza sconosciuta;C.1.1 Licenza Sconosciuta
